uclMail,password,firstName,lastName,teamName
Jha2355@edu.ucl.dk,Kode.123,Jens,Hansen,WD2024
Tje7892@edu.ucl.dk,Kode.123,Thomas,Jensen,WD2024
Ppe0924@edu.ucl.dk,Kode.123,Peter,Petersen,WD2024
Hje75443@edu.ucl.dk,Kode.123,Hanne,Jensen,WD2024
Hje4566@edu.ucl.dk,Kode.123,Hanne,Jensen,WD2024
Lme4355@edu.ucl.dk,Kode.123,Louise,Mettesen,WD2024
Tla0873@edu.ucl.dk,Kode.123,Torben,Laksen,WD2024
Mma4456@edu.ucl.dk,Kode.123,Mads,Madsen,WD2024
The2455@edu.ucl.dk,Kode.123,Thomas,Helmig,WD2024
Lga2356@edu.ucl.dk,Kode.123,Lukas,Graham,WD2024
Kla4675@edu.ucl.dk,Kode.123,Kim,Larsen,WD2024
Ali6719@edu.ucl.dk,Kode.123,Anne,Linnet,WD2024
