uclMail,password,firstName,lastName,teamName,roleId
Jha2355@edu.ucl.dk,Kode.123,Jens,Hansen,WD2020,3
Tje7892@edu.ucl.dk,Kode.123,Thomas,Jensen,WD2020,3
Ppe0924@edu.ucl.dk,Kode.123,Peter,Petersen,WD2020,3
Hje75443@edu.ucl.dk,Kode.123,Hanne,Jensen,WD2020,3
Hje4566@edu.ucl.dk,Kode.123,Hanne,Jensen,WD2020,3
Lme4355@edu.ucl.dk,Kode.123,Louise,Mettesen,WD2020,3
Tla0873@edu.ucl.dk,Kode.123,Torben,Laksen,WD2020,3
Mma4456@edu.ucl.dk,Kode.123,Mads,Madsen,WD2020,3
The2455@edu.ucl.dk,Kode.123,Thomas,Helmig,WD2020,3
Lga2356@edu.ucl.dk,Kode.123,Lukas,Graham,WD2020,3
Kla4675@edu.ucl.dk,Kode.123,Kim,Larsen,WD2020,3
Ali6719@edu.ucl.dk,Kode.123,Anne,Linnet,WD2020,3
